Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Zhou H., Kalev P.S., Frino A.","57204635864;6506439021;6603753670;","Algorithmic trading in turbulent markets",2020,"Pacific Basin Finance Journal","62",, 101358,"","",,,"10.1016/j.pacfin.2020.101358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086389773&doi=10.1016%2fj.pacfin.2020.101358&partnerID=40&md5=8b9701c7be778079a5e9be49ed29bef5","UniSA Business School, University of South Australia, Australia; La Trobe Business School, La Trobe University, Australia; University of Wollongong, Australia","Zhou, H., UniSA Business School, University of South Australia, Australia; Kalev, P.S., La Trobe Business School, La Trobe University, Australia; Frino, A., University of Wollongong, Australia","Does Algorithmic Trading (AT) exacerbate price swings in turbulent markets? We find that stocks with high AT experience less price drops (surges) on days when the market declines (increases) for more than 2%. This result is consistent with the view that AT minimizes price pressures and mitigates transitory pricing errors. Further analyses show that the net imbalances of AT liquidity demand and supply orders have smaller price impacts compared to non-AT net order imbalances and algorithmic traders reduce their price pressure by executing their trades based on the prevailing volume-weighted average prices. © 2020 Elsevier B.V.","Algorithmic trading; Order imbalance; Price swing; Turbulent markets; Volume-weighted average price",,Article,"Final",,Scopus,2-s2.0-85086389773
"Mitchell D., Białkowski J., Tompaidis S.","57211850530;17433419000;6602346163;","Volume-weighted average price tracking: A theoretical and empirical study",2020,"IISE Transactions","52","8",,"864","889",,,"10.1080/24725854.2019.1688896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076366036&doi=10.1080%2f24725854.2019.1688896&partnerID=40&md5=87a008ca58dd68ac2b05756372a32405","Department of Industrial and Systems Engineering, University of Minnesota Twin Cities, Minneapolis, MN, United States; Department of Economics and Finance, University of Canterbury, Christchurch, New Zealand; McCombs School of Business, University of Texas at Austin, Austin, TX, United States","Mitchell, D., Department of Industrial and Systems Engineering, University of Minnesota Twin Cities, Minneapolis, MN, United States; Białkowski, J., Department of Economics and Finance, University of Canterbury, Christchurch, New Zealand; Tompaidis, S., McCombs School of Business, University of Texas at Austin, Austin, TX, United States","The Volume-Weighted Average Price (VWAP) of a security is a key measure of execution quality for large orders often used by institutional investors. We propose a VWAP tracking model with general price and volume dynamics and transaction costs. We find the theoretically optimal VWAP tracking strategy in several special cases. With these solutions we investigate three questions empirically. Do dynamic strategies outperform static strategies? How important is the choice of the market impact model? Does capturing the relationship between trading volume and the variance of stock price returns play an important role in optimal VWAP execution? We find that static strategies are preferable to dynamic ones, that simpler market impact models that assume either constant or linear market impact, perform as well as more sophisticated, nonlinear, market impact models, and that capturing the relationship between trading volume and the variance of stock price returns improves the performance of VWAP execution significantly. © 2019, Copyright © 2019 “IISE”.","algorithmic trading; Trade execution; trading costs; volume-weighted average price","Commerce; Electronic trading; Financial markets; Investments; Isomers; Statistical methods; Algorithmic trading; Dynamic strategies; Empirical studies; Institutional investors; Tracking strategies; Trade execution; Trading cost; Volume-weighted averages; Costs",Article,"Final",,Scopus,2-s2.0-85076366036
"Carrion A., Kolay M.","55787524300;57192679995;","Trade signing in fast markets",2020,"Financial Review","55","3",,"385","404",,,"10.1111/fire.12218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075180589&doi=10.1111%2ffire.12218&partnerID=40&md5=428fd187a768a636daed006bf84895cb","Department of Finance, Insurance, and Real Estate, University of Memphis, Memphis, TN, United States; Pamplin School of Business, University of Portland, Portland, OR, United States","Carrion, A., Department of Finance, Insurance, and Real Estate, University of Memphis, Memphis, TN, United States; Kolay, M., Pamplin School of Business, University of Portland, Portland, OR, United States","This study assesses the accuracy of trade signing algorithms in fast trading environments using NASDAQ and NYSE trade and quote data. Using data that contain true trade signs, we show that the Lee and Ready algorithm outperforms the tick rule and classifies trades at least as well as in earlier studies from slower trading environments, even in subsamples where the market is particularly fast. We conclude that trade signing remains viable in fast markets, and that the use of quote data continues to increase trade classification accuracy. © 2019 The Eastern Finance Association","C18; G10; high-frequency trading; Lee and Ready algorithm; market microstructure; trade classification",,Article,"Final",,Scopus,2-s2.0-85075180589
"Ozbayoglu A.M., Gudelek M.U., Sezer O.B.","6505999525;57202719011;57207586168;","Deep learning for financial applications: A survey",2020,"Applied Soft Computing Journal","93",, 106384,"","",,,"10.1016/j.asoc.2020.106384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084842457&doi=10.1016%2fj.asoc.2020.106384&partnerID=40&md5=c6115098c38f8c2c6b168c35e1175f60","Department of Computer Engineering, TOBB University of Economics and Technology, Ankara, Turkey","Ozbayoglu, A.M., Department of Computer Engineering, TOBB University of Economics and Technology, Ankara, Turkey; Gudelek, M.U., Department of Computer Engineering, TOBB University of Economics and Technology, Ankara, Turkey; Sezer, O.B., Department of Computer Engineering, TOBB University of Economics and Technology, Ankara, Turkey","Computational intelligence in finance has been a very popular topic for both academia and financial industry in the last few decades. Numerous studies have been published resulting in various models. Meanwhile, within the Machine Learning (ML) field, Deep Learning (DL) started getting a lot of attention recently, mostly due to its outperformance over the classical models. Lots of different implementations of DL exist today, and the broad interest is continuing. Finance is one particular area where DL models started getting traction, however, the playfield is wide open, a lot of research opportunities still exist. In this paper, we tried to provide a state-of-the-art snapshot of the developed DL models for financial applications. We not only categorized the works according to their intended subfield in finance but also analyzed them based on their DL models. In addition, we also aimed at identifying possible future implementations and highlighted the pathway for the ongoing research within the field. © 2020 Elsevier B.V.","Algorithmic trading; Computational intelligence; Deep learning; Finance; Financial applications; Fraud detection; Machine learning; Portfolio management; Risk assessment","Finance; Classical model; Financial applications; Financial industry; Possible futures; Research opportunities; State of the art; Deep learning",Review,"Final",,Scopus,2-s2.0-85084842457
"Cohen G.","35190098800;","Forecasting bitcoin trends using algorithmic learning systems",2020,"Entropy","22","8", 838,"","",,,"10.3390/E22080838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089497594&doi=10.3390%2fE22080838&partnerID=40&md5=5350dea707c6ba2d4255cbaa1cb50e43","Department of Management,Western Galilee Academic College, P.O.Box, 2125, Acre, 2412101, Israel","Cohen, G., Department of Management,Western Galilee Academic College, P.O.Box, 2125, Acre, 2412101, Israel","This research has examined the ability of two forecasting methods to forecast Bitcoin's price trends. The research is based on Bitcoin-USA dollar prices from the beginning of 2012 until the end of March 2020. Such a long period of time that includes volatile periods with strong up and downtrends introduces challenges to any forecasting system. We use particle swarm optimization to find the best forecasting combinations of setups. Results show that Bitcoin's price changes do not follow the ""Random Walk"" efficient market hypothesis and that both Darvas Box and Linear Regression techniques can help traders to predict the bitcoin's price trends. We also find that both methodologies work better predicting an uptrend than a downtrend. The best setup for the Darvas Box strategy is six days of formation. A Darvas box uptrend signal was found efficient predicting four sequential daily returns while a downtrend signal faded after two days on average. The best setup for the Linear Regression model is 42 days with 1 standard deviation. © 2020 by the authors.","Algorithmic trading; Bitcoin; Darvas box; Swarm optimizations",,Article,"Final",Open Access,Scopus,2-s2.0-85089497594
"Lagna A., Lenglet M.","56720350000;54414487000;","The dark side of liquidity: shedding light on dark pools’ marketing and market-making",2020,"Consumption Markets and Culture","23","4",,"390","406",,2,"10.1080/10253866.2019.1582415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062449657&doi=10.1080%2f10253866.2019.1582415&partnerID=40&md5=2986f8d9fbc8c2980b027b51efc61698","School of Business and Economics, Loughborough University, Loughborough, United Kingdom; Strategy and Entrepreneurship Department, NEOMA Business School, Mont-Saint-Aignan, France","Lagna, A., School of Business and Economics, Loughborough University, Loughborough, United Kingdom; Lenglet, M., Strategy and Entrepreneurship Department, NEOMA Business School, Mont-Saint-Aignan, France","In this article, we explore the case of dark pools of liquidity, which are trading venues that do not display order books and other trading-related data. We argue that, in a context where liquidity remains essentially invisible, dark-pool providers use visual advertisements that iconically represent liquid markets. In so doing, they defuse the idea that dark liquidity is harmful to market efficiency and fair pricing. We use Barthesian and Greimasian semiotics to study how a major bank advertised its dark-liquidity services through iconic visual signs. We contribute to economic sociology and social studies of finance by foregrounding the role of visual advertising in the construction of liquid markets. To do so, we draw on insights from market studies and visual culture. © 2019 Informa UK Limited, trading as Taylor & Francis Group.","Algorithmic trading; dark pools of liquidity; market studies; semiotics; social studies of finance; visual culture",,Article,"Final",,Scopus,2-s2.0-85062449657
"Casgrain P., Jaimungal S.","57203275503;6602313862;","Mean-field games with differing beliefs for algorithmic trading",2020,"Mathematical Finance","30","3",,"995","1034",,1,"10.1111/mafi.12237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086482465&doi=10.1111%2fmafi.12237&partnerID=40&md5=4ca498b320bd24bdb12181aa85ea825f","Department of Statistical Sciences, University of Toronto, Toronto, ON, Canada","Casgrain, P., Department of Statistical Sciences, University of Toronto, Toronto, ON, Canada; Jaimungal, S., Department of Statistical Sciences, University of Toronto, Toronto, ON, Canada","Even when confronted with the same data, agents often disagree on a model of the real world. Here, we address the question of how interacting heterogeneous agents, who disagree on what model the real world follows, optimize their trading actions. The market has latent factors that drive prices, and agents account for the permanent impact they have on prices. This leads to a large stochastic game, where each agents performance criteria are computed under a different probability measure. We analyze the mean-field game (MFG) limit of the stochastic game and show that the Nash equilibrium is given by the solution to a nonstandard vector-valued forward–backward stochastic differential equation. Under some mild assumptions, we construct the solution in terms of expectations of the filtered states. Furthermore, we prove that the MFG strategy forms an ε-Nash equilibrium for the finite player game. Finally, we present a least square Monte Carlo based algorithm for computing the equilibria and show through simulations that increasing disagreement may increase price volatility and trading activity. © 2020 Wiley Periodicals LLC","algorithmic trading; mean-field games; model uncertainty; partial information",,Article,"Final",,Scopus,2-s2.0-85086482465
"Myung S., Lee J.-H.","57204722616;56714313700;","Ethereum smart contract-based automated power trading algorithm in a microgrid environment",2020,"Journal of Supercomputing","76","7",,"4904","4914",,2,"10.1007/s11227-018-2697-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056836385&doi=10.1007%2fs11227-018-2697-7&partnerID=40&md5=9b35e870b8ccad66eea64178b3b0ecb7","Protocol Engineering Lab., Sangmyung University, Cheonan, South Korea","Myung, S., Protocol Engineering Lab., Sangmyung University, Cheonan, South Korea; Lee, J.-H., Protocol Engineering Lab., Sangmyung University, Cheonan, South Korea","A recently emerged microgrid system presents the concept of a prosumer that consumers can also become suppliers, instead of a one-way configuration with separate providers and consumers. The microgrid system allows users to produce electricity, sell it on demand, and purchase them from other users. Unlike conventional centralized power trading, this emerging system aims on providing decentralized, transparent, and secure power trading. In this paper, we introduce a transparent and safe power trading algorithm between users using blockchain. The proposed algorithm has been implemented with an executable distributed code (i.e., smart contract) in an Ethereum blockchain platform. It explores for the power trading with automated operations in a decentralized environment without user intervention. The proposed power trading algorithm is written in the Solidity language and tested on the Ethereum blockchain platform. We also provide the actual code of the power trading algorithm written in the Solidity language. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Blockchain; Ethereum; Microgrid; Power trading algorithm; Smart contract","Blockchain; Automated operations; Distributed codes; Micro grid; Micro-grid systems; On demands; Power trading; Prosumer; User intervention; Ethereum",Article,"Final",,Scopus,2-s2.0-85056836385
"Aït-Sahalia Y., Brunetti C.","6701522393;57196871074;","High frequency traders and the price process",2020,"Journal of Econometrics","217","1",,"20","45",,,"10.1016/j.jeconom.2019.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076838499&doi=10.1016%2fj.jeconom.2019.11.005&partnerID=40&md5=7e2ecfdca233fd99acdec60919f9cc6e","Department of Economics, Bendheim Center for Finance, Princeton University and NBER, United States; Division of Research and Statistics, Board of Governors of the Federal Reserve System, United States","Aït-Sahalia, Y., Department of Economics, Bendheim Center for Finance, Princeton University and NBER, United States; Brunetti, C., Division of Research and Statistics, Board of Governors of the Federal Reserve System, United States","Using a dataset that uniquely identifies counterparties to each S&P500 eMini transaction, we classify each market participant as high or low frequency, and each transaction, by the speed of the traders involved. We investigate empirically the comparative influence of high and low frequency traders on the price process, and conversely the influence of the price process on the trading of high and low frequency traders. We find that high frequency traders have a particularly high success rate on each transaction, measured by the likelihood that the following price change will go in their direction as well as by the amount of time they have to wait to realize their gain, when trading against low frequency traders. Contrary to common wisdom, we find that high frequency traders’ activity does not induce volatility or jumps. In fact, it is their absence that is problematic: volatility and jumps are more prevalent in periods when they trade less intensely. Conversely, we find that spikes in volatility and jumps cause high frequency traders to trade less intensely, decreasing their provision of liquidity. Finally, looking at the market microstructure noise component to the price model, we find that higher level of noise generates trading opportunities for high frequency traders and lead them to increase their trading activity. © 2019 Elsevier B.V.","High frequency trading; Jumps; Liquidity; Market impact; Market microstructure noise; Price process; Volatility","Classification (of information); Electronic trading; Microstructure; High-frequency trading; Jumps; Liquidity; Market impacts; Market microstructure noise; Price process; Volatility; Commerce",Article,"Final",,Scopus,2-s2.0-85076838499
"Laly F., Petitjean M.","57212253087;16319982000;","Mini flash crashes: Review, taxonomy and policy responses",2020,"Bulletin of Economic Research","72","3",,"251","271",,,"10.1111/boer.12221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076305392&doi=10.1111%2fboer.12221&partnerID=40&md5=8d2e0f5cc9050e0e38c211fdf27ee267","Louvain School of Management, Mons, Belgium; IÉSEG School of Management, Lille, France; LEM-CNRS, Lille, France","Laly, F., Louvain School of Management, Mons, Belgium; Petitjean, M., Louvain School of Management, Mons, Belgium, IÉSEG School of Management, Lille, France, LEM-CNRS, Lille, France","We focus on extreme price movements known as mini flash crashes (MFCs). After reviewing the literature, we provide a taxonomy based on a sample of MFCs identified by Nanex on the U.S. financial markets over a three-year period. We detect significant differences between crashes and exchanges. In comparison to ‘up crashes’, we find that ‘down crashes’ exhibit lower absolute returns but have longer duration. We also show that the dynamics of MCFs varies across exchanges. For example, the MFCs on ARCA are on average both less severe and shorter in duration than those on the NASDAQ. We finally review all the key implications of MCFs in terms of public policy. © 2019 Board of Trustees of the Bulletin of Economic Research and John Wiley & Sons Ltd","extreme price movement,financial stability; G18; G28; high frequency trading; liquidity; mini flash crash; policy responses","comparative study; economic policy; financial market; literature review; price dynamics; United States",Article,"Final",,Scopus,2-s2.0-85076305392
"Ladley D.","15122283100;","The high frequency trade off between speed and sophistication",2020,"Journal of Economic Dynamics and Control","116",, 103912,"","",,,"10.1016/j.jedc.2020.103912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084041776&doi=10.1016%2fj.jedc.2020.103912&partnerID=40&md5=e48088db7857eef6da7fb4e728f1309a","University of Leicester, School of Business University of Leicester, LE17RH, United Kingdom","Ladley, D., University of Leicester, School of Business University of Leicester, LE17RH, United Kingdom","Central to the ability of a high frequency trader to make money is speed. In order to be first to trading opportunities, firms invest in the fastest hardware and the shortest connections between their machines and the markets. Yet this is not enough: algorithms must be short, no more than a few instructions. As a result there is a trade-off in the design of optimal high frequency trading strategies: being the fastest necessitates being less sophisticated. To understand the effect of this tension a computational model is presented that captures latency, both of code execution and information transmission. Trading algorithms are modelled through genetic programming with longer programmes allowing more sophisticated decisions at the cost of slower execution times. It is shown that, depending on the market composition, short fast strategies and slower more sophisticated strategies may both be viable and exploit different trading opportunities. The relative profits of these different approaches vary, however, slow traders benefit and social welfare increase in the presence of HFTs. A suite of regulations are tested to manage the risks associated with high frequency trading, the majority are found to be ineffective, though constraining the ratio of orders to trades may be promising. © 2020 Elsevier B.V.","Cognitive ability; High frequency trading; Market micro-Structure; Order book; Regulation",,Article,"Final",,Scopus,2-s2.0-85084041776
"Aslan A., Sensoy A.","57210588444;55761876000;","Intraday efficiency-frequency nexus in the cryptocurrency markets",2020,"Finance Research Letters","35",, 101298,"","",,3,"10.1016/j.frl.2019.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072702118&doi=10.1016%2fj.frl.2019.09.013&partnerID=40&md5=ea6be89a7f2fdc6bacef6dbc51c97399","Bilkent University, Faculty of Business Administration, Ankara, 06800, Turkey; Central Bank of the Republic of Turkey, Statistics Department, Ankara, 06050, Turkey","Aslan, A., Bilkent University, Faculty of Business Administration, Ankara, 06800, Turkey, Central Bank of the Republic of Turkey, Statistics Department, Ankara, 06050, Turkey; Sensoy, A., Bilkent University, Faculty of Business Administration, Ankara, 06800, Turkey","This study investigates the nexus between weak-form efficiency and intraday sampling frequency for the highest capitalized cryptocurrencies. Applying a battery of long memory tests, we provide evidence of major discrepancies on the predictability of cryptocurrency returns for alternative high frequency intervals. Accordingly, efficiency demonstrates a U-shaped pattern with respect to alternative sampling frequencies, hence there exists an optimal intraday sampling frequency that maximizes the market efficiency. These findings have important implications for portfolio analysis, risk management, regulations and administrative rulings in the cryptocurrency markets. © 2019 Elsevier Inc.","Algorithmic trading; Cryptocurrencies; Efficient Market Hypothesis (EMH); High-frequency trading; Hurst exponent",,Article,"Final",,Scopus,2-s2.0-85072702118
"Li Y., Shen D., Wang P., Zhang W.","57202713882;55775213600;57201462928;56621528900;","Does intraday time-series momentum exist in Chinese stock index futures market?",2020,"Finance Research Letters","35",, 101292,"","",,1,"10.1016/j.frl.2019.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072202361&doi=10.1016%2fj.frl.2019.09.007&partnerID=40&md5=885020d5bdedd2321372ff13fce344f3","College of Management and Economics, Tianjin University, No.92 Weijin Road, Nankai District, Tianjin  300072, China; China Center for Social Computing and Analytics, Tianjin UniversityTianjin, China","Li, Y., College of Management and Economics, Tianjin University, No.92 Weijin Road, Nankai District, Tianjin  300072, China; Shen, D., College of Management and Economics, Tianjin University, No.92 Weijin Road, Nankai District, Tianjin  300072, China, China Center for Social Computing and Analytics, Tianjin UniversityTianjin, China; Wang, P., College of Management and Economics, Tianjin University, No.92 Weijin Road, Nankai District, Tianjin  300072, China; Zhang, W., College of Management and Economics, Tianjin University, No.92 Weijin Road, Nankai District, Tianjin  300072, China, China Center for Social Computing and Analytics, Tianjin UniversityTianjin, China","In this paper, we investigate the intraday momentum in the Chinese stock index futures market. By conducting both in-sample and out-of-sample tests, we find that the first trading-session return can significantly predict the last trading-session return, especially when defining the trading session at the 60 min level. The intraday momentum is stronger on days with high volume, volatility, and investor attention. And the intraday momentum strategies yield substantial returns per year and utility gains for investors. Our results are robust to alternative index futures, alternative sample period and the sign of first trading-session return. © 2019 Elsevier Inc.","Chinese stock index futures; High frequency trading; Intraday momentum; Predictability",,Article,"Final",,Scopus,2-s2.0-85072202361
